Argentina,Cablevision
Argentina,Telecentro
Argentina,Telecom Argentina
Argentina,Telefonica de Argentina
Australia,Dodo
Australia,Exetel
Australia,iiNet
Australia,Internode
Australia,Optus
Australia,Telstra
Australia,TPG Internet
Australia,Westnet
Belgium,Belgacom
Belgium,Telenet
Brazil,Canbras Net
Brazil,Embratel
Brazil,Global Village Telecom
Brazil,Hi
Brazil,NET Servicos de Comunicao
Brazil,NTT America
Brazil,Telecomunicacoes do Brasil
Brazil,Telesc
Brazil,Telesp
Canada,Bell Aliant Regional Communications
Canada,Bell Canada
Canada,Canaca-com
Canada,Cogeco
Canada,Distributel
Canada,EastLink
Canada,MTS Allstream
Canada,Rogers
Canada,Shaw
Canada,TekSavvy
Canada,Telus
Canada,Videotron Telecom
Chile,Moviestar
Chile,VTR Banda Ancha
Croatia,T-Com Croatia
Czech Republic,Telefonica o2
Denmark,TDC Data Networks
Egypt,TEData
Estonia,Elion Enterprises
Estonia,Elisa Eesti
Finland,Elisa
Finland,Telia Sonera Finland
France,France Telecom _ Orange
France,Free
France,Numericable
France,Societe Francaise du Radiotelephone
Germany,Deutsche Telekom
Germany,Kabel Deutschland
Germany,Telefonica o2
Germany,Vodafone
Greece,Forthnet
Greece,Hellas OnLine
Greece,Ote
Hong Kong,PCCW
Hungary,Digicable
Hungary,Magyar Telekom
Hungary,UPC Broadband
India,Bharti Airtel
India,Mahanagar Telephone Nigam
India,National Internet Backbone
India,Reliance Communications
India,Tata Communications
Indonesia,Telekomunikasi Indonesia
Ireland,Eircom
Israel,013 NetVision
Israel,Bezeqint
Israel,Smile Communications
Italy,Fastweb
Italy,Opitel
Italy,Telecom Italia
Italy,Tiscali Italia
Italy,WIND
Japan,NTT
Japan,Softbank
Japan,Technology Networks (@NetHome)
Japan,Vectant
Lithuania,TEO LT
Malaysia,TM Net
Mexico,Uninet
Netherlands,KPN
Netherlands,T-Mobile
Netherlands,Telfort
Netherlands,Ziggo
New Zealand,CallPlus
New Zealand,Telecom New Zealand
New Zealand,TelstraClear
New Zealand,Vodafone NZ
Norway,Telenor
Philippines,Globe Telecoms
Philippines,Smart Broadband
Poland,Netia
Poland,Telekomunikacja Polska
Poland,Toya
Poland,UPC Polska
Portugal,Cabovisao
Portugal,Optimus
Portugal,Telepac
Portugal,ZON TV
Romania,RCS & RDS
Romania,Romtelecom
Romania,UPC Romania
Russian Federation,Beeline
Singapore,SingNet
Singapore,StarHub
South Africa,Internet Solutions
Spain,Jazz Telecom
Spain,ONO
Spain,Orange Espana
Spain,Telefonica
Sweden,Com Hem Sweden
Sweden,Tele2
Sweden,Telia Sonera
Switzerland,UPC Cablecom
Taiwan,Chunghwa Telecom
Taiwan,Digital United
Taiwan,Hoshin Multimedia Center
Taiwan,Sony Network Taiwan
Taiwan,Taiwan Fixed Network
Thailand,TOT
Thailand,True Internet
Trinidad and Tobago,Columbus Communications
Turkey,Turk Telekomunikasyon
United Arab Emirates,Du
United Arab Emirates,Etisalat
United Kingdom,BE
United Kingdom,British Telecom (BT)
United Kingdom,Easynet
United Kingdom,Eclipse Internet
United Kingdom,PlusNet
United Kingdom,TalkTalk
United Kingdom,Virgin Broadband
United States,AT&T
United States,Cable One
United States,Cablevision
United States,CenturyLink
United States,CenturyTel Internet
United States,Charter Internet
United States,Cincinnati Bell
United States,Clearwire
United States,Comcast
United States,Cox
United States,Frontier Communications of America
United States,Insight Communications
United States,Midcontinent Media
United States,RCN Corporation
United States,RoadRunner
United States,Suddenlink Communications
United States,Verizon
United States,Windstream Communications
United States,WOW
Vietnam,VNPT
Australia,Vodafone
